"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 10, 2016","22.75","22.75","22.75","22.75","-","0.00%"
"Oct 07, 2016","22.75","22.75","22.75","22.75","-","0.00%"
"Oct 06, 2016","22.75","22.75","22.75","22.75","-","0.00%"
"Oct 05, 2016","22.75","22.75","22.75","22.75","-","0.44%"
"Oct 04, 2016","22.65","22.65","22.65","22.65","-","1.12%"
"Oct 03, 2016","22.40","22.40","22.40","22.40","-","0.00%"
"Sep 30, 2016","22.40","22.40","22.40","22.40","-","-2.61%"
"Sep 29, 2016","23.00","23.00","23.00","23.00","-","-2.13%"
"Sep 28, 2016","23.50","23.50","23.50","23.50","-","0.00%"
"Sep 27, 2016","23.50","23.50","23.50","23.50","-","1.08%"
"Sep 26, 2016","23.25","23.25","23.25","23.25","-","-4.71%"
"Sep 23, 2016","24.40","24.40","24.40","24.40","-","0.00%"
"Sep 22, 2016","24.40","24.40","24.40","24.40","-","-1.41%"
"Sep 21, 2016","24.75","24.75","24.75","24.75","-","-0.60%"
"Sep 20, 2016","24.90","24.90","24.90","24.90","-","0.00%"
"Sep 19, 2016","24.90","24.90","24.90","24.90","-","-1.39%"
"Sep 16, 2016","25.25","25.25","25.25","25.25","-","0.00%"
"Sep 15, 2016","25.25","25.25","25.25","25.25","-","-0.59%"
"Sep 14, 2016","25.40","25.40","25.40","25.40","-","0.00%"
"Sep 13, 2016","25.40","25.40","25.40","25.40","-","0.00%"
"Sep 12, 2016","25.40","25.40","25.40","25.40","-","0.00%"
"Sep 09, 2016","25.40","25.40","25.40","25.40","-","-0.97%"
"Sep 08, 2016","25.65","25.65","25.65","25.65","-","0.00%"
"Sep 07, 2016","25.65","25.65","25.65","25.65","-","0.00%"
"Sep 06, 2016","25.65","25.65","25.65","25.65","-","0.00%"
"Sep 02, 2016","25.65","25.65","25.65","25.65","-","0.00%"
"Sep 01, 2016","25.65","25.65","25.65","25.65","-","1.58%"
"Aug 31, 2016","25.25","25.25","25.25","25.25","-","0.00%"
"Aug 30, 2016","25.25","25.25","25.25","25.25","-","-1.94%"
"Aug 29, 2016","25.75","25.75","25.75","25.75","-","-0.77%"
"Aug 26, 2016","25.95","25.95","25.95","25.95","-","0.00%"
"Aug 25, 2016","25.95","25.95","25.95","25.95","-","0.19%"
"Aug 24, 2016","25.90","25.90","25.90","25.90","-","0.00%"
"Aug 23, 2016","25.90","25.90","25.90","25.90","-","0.58%"
"Aug 22, 2016","25.75","25.75","25.75","25.75","-","0.00%"
"Aug 19, 2016","25.75","25.75","25.75","25.75","-","-1.15%"
"Aug 18, 2016","26.05","26.05","26.05","26.05","-","0.00%"
"Aug 17, 2016","26.05","26.05","26.05","26.05","-","0.19%"
"Aug 16, 2016","26.00","26.00","26.00","26.00","-","0.00%"
"Aug 15, 2016","26.00","26.00","26.00","26.00","-","0.00%"
"Aug 12, 2016","26.00","26.00","26.00","26.00","-","0.00%"
"Aug 11, 2016","26.00","26.00","26.00","26.00","-","0.78%"
"Aug 10, 2016","25.80","25.80","25.80","25.80","-","0.00%"
"Aug 09, 2016","25.80","25.80","25.80","25.80","-","-1.53%"
"Aug 08, 2016","26.20","26.20","26.20","26.20","-","-0.19%"
"Aug 05, 2016","26.25","26.25","26.25","26.25","-","-0.76%"
"Aug 04, 2016","26.45","26.45","26.45","26.45","-","-0.94%"
"Aug 03, 2016","26.70","26.70","26.70","26.70","-","0.19%"
"Aug 02, 2016","26.65","26.65","26.65","26.65","-","1.52%"
"Aug 01, 2016","26.25","26.25","26.25","26.25","-","0.96%"
"Jul 29, 2016","26.00","26.00","26.00","26.00","-","-2.80%"
"Jul 28, 2016","26.75","26.75","26.75","26.75","-","1.90%"
"Jul 27, 2016","26.25","26.25","26.25","26.25","-","2.94%"
"Jul 26, 2016","25.50","25.50","25.50","25.50","-","2.00%"
"Jul 25, 2016","25.00","25.00","25.00","25.00","-","-1.57%"
"Jul 22, 2016","25.40","25.40","25.40","25.40","-","0.00%"
"Jul 21, 2016","25.40","25.40","25.40","25.40","-","0.00%"
"Jul 20, 2016","25.40","25.40","25.40","25.40","-","0.00%"
"Jul 19, 2016","25.40","25.40","25.40","25.40","-","2.01%"
"Jul 18, 2016","24.90","24.90","24.90","24.90","-","-3.86%"
"Jul 15, 2016","25.90","25.90","25.90","25.90","-","-0.38%"
"Jul 14, 2016","26.00","26.00","26.00","26.00","-","-0.76%"
"Jul 13, 2016","26.20","26.20","26.20","26.20","-","-0.95%"
"Jul 12, 2016","26.45","26.45","26.45","26.45","-","0.00%"
"Jul 11, 2016","26.45","26.45","26.45","26.45","-","-0.19%"
"Jul 08, 2016","26.50","26.50","26.50","26.50","-","0.00%"
"Jul 07, 2016","26.50","26.50","26.50","26.50","-","0.19%"
"Jul 06, 2016","26.45","26.45","26.45","26.45","-","0.00%"
"Jul 05, 2016","26.45","26.45","26.45","26.45","-","-0.19%"
"Jul 01, 2016","26.50","26.50","26.50","26.50","-","0.38%"
"Jun 30, 2016","26.40","26.40","26.40","26.40","-","-0.19%"
"Jun 29, 2016","26.45","26.45","26.45","26.45","-","-0.38%"
"Jun 28, 2016","26.55","26.55","26.55","26.55","-","-1.67%"
"Jun 27, 2016","27.00","27.00","27.00","27.00","-","-0.92%"
"Jun 24, 2016","27.25","27.25","27.25","27.25","-","3.22%"
"Jun 23, 2016","26.40","26.40","26.40","26.40","-","0.00%"
"Jun 22, 2016","26.40","26.40","26.40","26.40","-","0.00%"
"Jun 21, 2016","26.40","26.40","26.40","26.40","-","2.52%"
"Jun 20, 2016","25.75","25.75","25.75","25.75","-","0.00%"
"Jun 17, 2016","25.75","25.75","25.75","25.75","-","-3.38%"
"Jun 16, 2016","26.65","26.65","26.65","26.65","-","-2.74%"
"Jun 15, 2016","27.40","27.40","27.40","27.40","-","-2.14%"
"Jun 14, 2016","28.00","28.00","28.00","28.00","-","0.00%"
"Jun 13, 2016","28.00","28.00","28.00","28.00","-","-0.53%"
"Jun 10, 2016","28.15","28.15","28.15","28.15","-","-0.35%"
"Jun 09, 2016","28.25","28.25","28.25","28.25","-","0.00%"
"Jun 08, 2016","28.25","28.25","28.25","28.25","-","0.00%"
"Jun 07, 2016","28.25","28.25","28.25","28.25","-","0.00%"
"Jun 06, 2016","28.25","28.25","28.25","28.25","-","-0.18%"
"Jun 03, 2016","28.30","28.30","28.30","28.30","-","1.07%"
"Jun 02, 2016","28.00","28.00","28.00","28.00","-","2.75%"
"Jun 01, 2016","27.25","27.25","27.25","27.25","-","0.00%"
"May 31, 2016","27.25","27.25","27.25","27.25","-","0.00%"
"May 27, 2016","27.25","27.25","27.25","27.25","-","0.00%"
"May 26, 2016","27.25","27.25","27.25","27.25","-","-2.33%"
"May 25, 2016","27.90","27.90","27.90","27.90","-","-0.89%"
"May 24, 2016","28.15","28.15","28.15","28.15","-","-1.23%"
"May 23, 2016","28.50","28.50","28.50","28.50","-","-0.52%"
"May 20, 2016","28.65","28.65","28.65","28.65","-","0.00%"
"May 19, 2016","28.65","28.65","28.65","28.65","-","0.00%"
"May 18, 2016","28.65","28.65","28.65","28.65","-","0.00%"
"May 17, 2016","28.65","28.65","28.65","28.65","-","1.06%"
"May 16, 2016","28.35","28.35","28.35","28.35","-","1.25%"
"May 13, 2016","28.00","28.00","28.00","28.00","-","0.90%"
"May 12, 2016","27.75","27.75","27.75","27.75","-","0.00%"
"May 11, 2016","27.75","27.75","27.75","27.75","-","0.00%"
"May 10, 2016","27.75","27.75","27.75","27.75","-","0.36%"
"May 09, 2016","27.65","27.65","27.65","27.65","-","0.36%"
"May 06, 2016","27.55","27.55","27.55","27.55","-","0.00%"
"May 05, 2016","27.55","27.55","27.55","27.55","-","-0.18%"
"May 04, 2016","27.60","27.60","27.60","27.60","-","-0.18%"
"May 03, 2016","27.65","27.65","27.65","27.65","-","0.00%"
"May 02, 2016","27.65","27.65","27.65","27.65","-","0.00%"
"Apr 29, 2016","27.65","27.65","27.65","27.65","-","0.91%"
"Apr 28, 2016","27.40","27.40","27.40","27.40","-","-0.90%"
"Apr 27, 2016","27.65","27.65","27.65","27.65","-","0.00%"
"Apr 26, 2016","27.65","27.65","27.65","27.65","-","0.55%"
"Apr 25, 2016","27.50","27.50","27.50","27.50","-","-1.79%"
"Apr 22, 2016","28.00","28.00","28.00","28.00","-","4.67%"
"Apr 21, 2016","26.75","26.75","26.75","26.75","-","-2.73%"
"Apr 20, 2016","27.50","27.50","27.50","27.50","-","0.00%"
